IndicatorCode,IndicatorName
SA_0000001554,Health warning labels on alcohol advertising
SA_0000001554_ARCHIVED,Health warning labels on alcohol advertising
SA_0000001555,Health warning labels on alcohol containers
SA_0000001650,"Standard drink measures, in grams per unit"
SA_0000001651,Monitoring
SA_0000001678,Sales of beer in 1000s hectolitres
SA_0000001759_ARCHIVED,"15-19 years old, current drinkers (%)"
SA_0000001760_ARCHIVED,15-19 years old total alcohol consumption in litres of pure alcohol
SA_0000001761_ARCHIVED,National guidelines for the prevention and reduction of alcohol-related harm in schools
SA_0000001763_ARCHIVED,Workplace representatives nationally involved to prevent and address alcohol-related harm
SA_0000001767_ARCHIVED,Legislation on alcohol testing at workplaces
SA_0000001769,National systems for monitoring alcohol consumption and harms
SA_0000001769_ARCHIVED,National systems for monitoring alcohol consumption and harms
SA_0000001771_ARCHIVED,Comprehensive and regular reporting of alcohol situation
SA_0000001779,Level of enforcement of BAC limits
SA_0000001509,Advertising restrictions on national radio
SA_0000001511,Advertising restrictions in print media
SA_0000001512,Advertising restrictions at cinemas
SA_0000001513_ARCHIVED,Advertising restrictions on billboards
SA_0000001516,Restrictions on product placement on national television
SA_0000001523,"Prices for alcoholic beverages (average, US$)"
SA_0000001525_ARCHIVED,Off-premise sales restrictions on days
SA_0000001530,Off-premise sales restrictions at petrol stations
RSUD_17,Legislative provision for compulsory treatment
RSUD_2,"Point prevalence (%), drug use disorders, 15+ years"
RSUD_230,Compulsory treatment for people with alcohol use disorders in the criminal justice system
SA_0000001682,Perceived trend in sales
SA_0000001765_ARCHIVED,Legal obligation for schools to include alcohol use prevention
SA_0000001766,Legal obligation for schools to interact with parents regarding education and well-being
SA_0000001766_ARCHIVED,Legal obligation for schools to interact with parents regarding education and well-being
SA_0000001770_ARCHIVED,Regular reports from national monitoring systems
SA_0000001774_ARCHIVED,National surveys on youth alcohol consumption
SA_0000001775_ARCHIVED,National surveys on heavy espisodic drinking
SA_0000001776,Data collection on Foetal Alcohol Syndome
SA_0000001776_ARCHIVED,Data collection on Foetal Alcohol Syndome
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average"
SA_0000001692_ARCHIVED,Framework of national alcohol policy
RSUD_260,Five-year change in government resources for treatment of substance use disorders
RSUD_27,"Government benefits for alcohol use disorders, subsidy or disability pension"
RSUD_280,Financing methods for treatment for drug use disorders
RSUD_30,Sector for inpatient treatment of alcohol dependence
RSUD_300,Government benefits for people with alcohol use disorders
RSUD_31,Sector for outpatient treatment of alcohol dependence
RSUD_320,Main sector for treatment for alcohol use disorders
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders
RSUD_350,Treatment programmes for children and adolescents with drug use disorders
RSUD_43,Open access services for substance use disorders
SA_0000001549,Duty paid or excise stamp on alcohol container
SA_0000001550,Excise tax on alcoholic beverages
SA_0000001553_ARCHIVED,Restrictions on alcohol use in public places
SA_0000001650_ARCHIVED,"Standard drink measures, in grams per unit"
SA_0000001652,"Interventions, projects, training"
SA_0000001538_ARCHIVED,Restrictions on sponsorship of youth events
SA_0000001539,"Restrictions on sales promotion from producers (parties, events)"
SA_0000001540_ARCHIVED,Restrictions on sales promotion from retailers (sales below cost)
SA_0000001541,Restrictions on sales promotion from owners of pubs and bars (alcohol for free)
SA_0000001543_ARCHIVED,Government monopoly on retail sales
SA_0000001545,Licence required for retail sales
SA_0000001546_ARCHIVED,Excise tax as a per cent of the retail price of alcoholic beverages
RSUD_44,"Treatment slots for alcohol and drug use disorders, outpatient, per 10 000"
RSUD_45,"Beds for the treatment of substance use disorders, per 100 000"
RSUD_47,"Length of stay for inpatient short-term treatment, days"
RSUD_470,Timeframe for maintenance treatment of opioid dependence
SA_0000001653,"Treatment, services"
SA_0000001655,Counselling
SA_0000001677,Imports in 1000s hectolitres
SA_0000001679,Exports of beer (barley) in 1000s hectolitres
SA_0000001683,Perceived trend in exports
SA_0000001686,Exports of wine (grape) in 1000s hectolitres
SA_0000001687,Exports of spirits in 1000s hectolitres
SA_0000001695,"Cautions and arrests for public drunkenness, per 100,000 population"
SA_0000001699,Age limits off-premise sales
SA_0000001704,Data collection on alcohol-related health indicators
TOBACCO_0000000370,Bupropion - place available
TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging
TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging
TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging
TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging"
TOBACCO_0000000507,Repeating interval for survey of youth (years)
TOTENV_10,Total environment  attributable DALYs per 100'000 children under 5 years
TOTENV_12,DALYs attributable to the environment in children under 5 years (%)
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population)
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment
SA_0000001782_ARCHIVED,"15-years old first drink at 13 years or younger, (%)"
SA_0000001783,"15-years old any alcoholic beverage consumed in past 30 days, (%)"
SA_0000001783_ARCHIVED,"15-years old any alcoholic beverage consumed in past 30 days, (%)"
SA_0000001787,"13-15-years old first drink before age 14, (%)"
SA_0000001788,"Alcohol-related road traffic crashes with fatalities, per 100,000  population"
SA_0000001788_ARCHIVED,"Alcohol-related road traffic crashes with fatalities, per 100,000  population"
SA_0000001789_ARCHIVED,Alcohol-related crimes (% of all crimes)
SA_0000001792,National legislation to prevent illegal alcohol sales
SA_0000001796,Licensing required for wholesale/distribution of alcoholic beverages
SA_0000001798,"Licenses issued for retail sale, change since 2010"
SA_0000001801,Monopoly on imports of alcoholic beverages
SA_0000001803,Health warning labels on pregnancy
TOTENV_7,Total environment attributable deaths ('000) in children under 5 years
TOTENV_90,Total environment attributable DALYs  in children under 5 years
UHC_DATA_AVAIL_CODE,Data availability for UHC index of essential service coverage (ranking)
UHC_HRHSURGEONDENSITY,Surgeons (per 100 000)
UHC_NCD_FPG,Mean fasting plasma glucose
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access
UHC_SCI_RMNCH,"UHC Service Coverage sub-index on reproductive, maternal, newborn and child health"
SA_0000001654,"Surveys, research"
SA_0000001676,Production in 1000s hectolitres
SA_0000001684,Sales of wine in 1000s hectolitres
SA_0000001685,Sales of spirits in 1000s hectolitres
SA_0000001688_ARCHIVED,Total (recorded+unrecorded) alcohol per capita (15+) consumption
SA_0000001689,"Age-standardized DALYs, cerebrovascular disease, per 100,000"
SA_0000001691_ARCHIVED,Central coordinating entity for alcohol policy implementation
SA_0000001692,Framework of national alcohol policy
SA_0000001693_ARCHIVED,Level of adoption of national alcohol policy
SA_0000001694_ARCHIVED,Sectors represented in national alcohol policy
RSUD_67,Commencement of treatment with opioid agonists
RSUD_69,Pharmacotherapy used for the management of benzodiazepine withdrawal
RSUD_7,Psychoactive substance causing entry into treatment
RSUD_700,Employment services for alcohol use disorders
TOBACCO_0000000361,Access to a toll-free quit line
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals
TOBACCO_0000000366,Smoking cessation support is available in other settings
TOBACCO_0000000367,Nicotine replacement therapy - legally sold
TOBACCO_0000000368,Nicotine replacement therapy - place available
SA_0000001770,Regular reports from national monitoring systems
SA_0000001771,Comprehensive and regular reporting of alcohol situation
SA_0000001772,Clinical guidelines for brief interventions
SA_0000001772_ARCHIVED,Clinical guidelines for brief interventions
SA_0000001773,National surveys on adult alcohol consumption
SA_0000001775,National surveys on heavy espisodic drinking
SA_0000001777,Data collected on harm from alcohol at workplace
SA_0000001777_ARCHIVED,Data collected on harm from alcohol at workplace
SA_0000001781_ARCHIVED,"15-years old any alcoholic beverage consumed in past 12 months, (%)"
SA_0000001782,"15-years old first drink at 13 years or younger, (%)"
SA_0000001784,"15-years old, any alcoholic beverage consumed at least once a week, (%)"
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)"
SA_0000001690,"Age-standardized death rates, cerebrovascular disease, per 100,000"
SA_0000001691,Central coordinating entity for alcohol policy implementation
SA_0000001694,Sectors represented in national alcohol policy
SA_0000001695_ARCHIVED,"Cautions and arrests for public drunkenness, per 100,000 population"
SA_0000001786_ARCHIVED,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)"
SA_0000001790,National drinking guidelines
SA_0000001791,Graduated licensing
SA_0000001793,"Penalties for drink driving, repeated offense"
SA_0000001795,Licensing required for imports of alcoholic beverages
SA_0000001797,"Licenses issued for production, change since 2010"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages
SA_0000001806,Legal requirement for size of health warning labels
TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale
TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country
SA_0000001696_ARCHIVED,Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities)
SA_0000001697_ARCHIVED,"Adopted written national policy on alcohol, year adopted"
SA_0000001699_ARCHIVED,Age limits off-premise sales
SA_0000001702,Brief interventions as health promotion/disease prevention
TOBACCO_0000000365,Smoking cessation support is available in the community
TOTENV_11,Deaths attributable to the environment in children under 5 years (%)
TOTENV_5,Deaths attributable to the environment (%)
TOBACCO_0000000371,Varenicline - legally sold
TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging
TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated
TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health
TOBACCO_0000000505,Year of survey of youth
SA_0000001781,"15-years old any alcoholic beverage consumed in past 12 months, (%)"
SA_0000001789,Alcohol-related crimes (% of all crimes)
TOTENV_1,Deaths attributable to the environment
TOTENV_6,Disability-adjusted life years (DALYs) attributable to the environment (%)
TOTENV_70,Total environment attributable deaths in children under 5 years
TOTENV_8,Total environment  attributable deaths per 100'000 children under 5 years
u5mr,Under-five mortality rate (deaths per 1000 live births)
UHC_AVAILABILITY_SCORE,Primary data availability for UHC Service Coverage Index (SDG 3.8.1) (%)
UHC_IHR,Compliance with international health regulations
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases
UHC_TB_DT,Tuberculosis detection and treatment
SA_0000001794,Licensing required for exports of alcoholic beverages
SA_0000001800,Monopoly on exports of alcoholic beverages
SA_0000001805,Health warning labels on drink-driving
SA_0000001808,"Alcohol-attributable fractions (15+), cancer deaths"
SA_0000001812,Report with data from health services on alcohol use and AUDs
SA_0000001814,Taxation of ethanol production
SA_0000001816,Tax incentives for production low/no alcohol content beer
SA_0000001817,Tax incentives for production of other alcoholic beverages
SA_0000001819,Heavy episodic drinking (youth 15 -19 years) past 30 days (%)
RSUD_500,Registration of medications for opioid withdrawal
RSUD_51,Methadone used for the treatment of opioid dependence
RSUD_520,Availability of naloxone
RSUD_540,Screening and brief intervention for substance use in antenatal services
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care
RSUD_56,Buprenorphine/naloxone used for the treatment of opioid dependence
RSUD_570,Groups and agencies involved in prevention programs
RSUD_60,Buprenorphine/naloxone provision in clinical and community-based settings
RSUD_61,Supervision requirements for methadone administration
RSUD_610,Prevention programmes for specific populations for drugs
RSUD_620,"HIV, Hepatitis counselling and treatment availability in specialized facilities and services"
RSUD_66,Prescription requirements for buprenorphine/naloxone
RSUD_690,Special housing services for drug use disorders
TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities
TOBACCO_0000000369,Bupropion - legally sold
SA_0000001548,Excise tax as a per cent of the total retail price for 1 litre of pure alcohol
SA_0000001549_ARCHIVED,Duty paid or excise stamp on alcohol container
SA_0000001551,Value-added tax (VAT) on alcohol (%)
SA_0000001647,Awareness activities
SA_0000001649,National drinking guidelines
SA_0000001680,Perceived trend in production
SA_0000001681,Perceived trend in imports
SA_0000001693,Level of adoption of national alcohol policy
SA_0000001696,Alcohol-related road traffic crashes with fatalities (% of all road traffic crashes with fatalities)
SA_0000001697,"Adopted written national policy on alcohol, year adopted"
SA_0000001706,National treatment policy for alcohol use disorders
SA_0000001713,Interventions/projects actively involving young people and civil society
SA_0000001717,Prevention/counselling at workplaces for those with alcohol problems
SA_0000001705,System for monitoring alcohol-related harm
SA_0000001710,Public-funded alcohol research/monitoring programmes
SA_0000001711,"Public funds designated for alcohol research/monitoring programmes, in Euros"
UHC_INDEX_ACTUAL,Index of Essential Service Coverage (Actual)
UHC_INDEX_REPORTED,UHC Service Coverage Index (SDG 3.8.1)
UHC_NCD_NONELEVBP,Prevalence of non-elevated blood pressure (%)
WHS10_7,Number of national population surveys -  adult health
WHS10_8,Civil registration coverage of cause-of-death (%)
WHS2_126,Distribution of years of life lost by major cause group
UHC_TOBACCONO,Prevalence of non-use of tobacco
UNICEF_ORS,Children aged <5 years with diarrhoea receiving ORS (%)
UNICEF_PNCNEWBORN,Proportion of newborns who have postnatal contact with a health provider within 2 days of delivery (%)
UV_3,UV radiation attributable DALYs ('000)
UV_5,UV radiation attributable DALYs per 100'000 capita
VIOLENCE_CHILD_EMOTIONAL,Lifetime prevalence of child emotional abuse (%)
VIOLENCE_CHILD_PHYSICAL,Lifetime prevalence of child physical abuse (%)
VIOLENCE_CHILD_SEXUAL,Lifetime prevalence of child sexual abuse (%)
SA_0000001709,National surveys on drink-driving
WHS2_161,Age-standardized mortality rate by cause (per 100 000 population) - Cardiovascular
WHS2_171,Distribution of causes of death among children aged <5 years (%) - Other diseases
WHS2_515,Distribution of causes of death among children aged <5 years (%) - Neonatal sepsis
WHS2_516,Distribution of causes of death among children aged <5 years (%) - Congenital anomalies
WHS2_523,Distribution of causes of death among children aged <5 years (%) - Birth asphyxia
WHS3_42,Japanese encephalitis - number of reported cases
WHS3_45,Number of new leprosy cases
SA_0000001811,Report with epidemiological data on lcohol use and AUDs
SA_0000001815,Ethanol tax deducted from excise tax
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections"
SA_0000001821_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI"
WHS2_138,Deaths due to HIV/AIDS (per 100 000 population)
SA_0000001823_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)"
SA_0000001824,"Alcohol, regional alcohol per capita (15+) consumption (in litres of pure alcohol)"
SA_0000001827,"Regional prevalence, AAFs (15+), cancer"
SA_0000001829,Average price 500 mls Beer in US$
SA_0000001830,Average price 750 mls Wine in US$
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%)
WHS2_166,Distribution of causes of death among children aged <5 years (%) - Injuries
WHS2_167,Distribution of causes of death among children aged <5 years (%) - Diarrhoea
WHS2_168,Distribution of causes of death among children aged <5 years (%) - Measles
WHS2_514,Distribution of causes of death among children aged <5 years (%) - Prematurity
UV_1,UV radiation
uweight3,Underweight prevalence in children aged < 3 years (%)
uweight5,Underweight prevalence in children aged < 5 years (%)
VIOLENCE_BULLIED,"Bullied, past 30 days (%)"
VIOLENCE_EXTENTIMP_CHILDPROTECTION,Extent of implementation of child protection services
VIOLENCE_EXTENTIMP_ELDERCAREGIVER,Elder abuse: Extent of implementation  of caregiver-support programmes
VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION,Intimate partner violence: Extent of implementation  of dating violence prevention programmes
vita,Children aged 6-59 months who received vitamin A supplementation (%)
W1_HW_law_B,Law mandates that health warnings appear on other smoked tobacco packages
SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average"
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average"
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)"
SDGCONFLICT,Estimated direct deaths from major conflicts (per 100 000 population)
SDGHIV,New HIV infections (per 1000 uninfected population)
SDGMALARIA,Malaria incidence (per 1 000 population at risk)
SDGOOP,Out-of-pocket expenditure as a percentage of total expenditure on health
SDGPM25,Concentrations of fine particulate matter (PM2.5)
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)"
WHS3_40,Cholera - number of reported cases
WHS3_43,Pertussis - number of reported cases
WHS3_46,Total tetanus - number of reported cases
WHS3_52,Plague - number of reported cases
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)
WHS4_106,Care-seeking for children with symptoms of acute respiratory infection (%)
WHS4_111,Antenatal care coverage - at least one visit (%)
SA_0000001820,"Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)"
SA_0000001822_ARCHIVED,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI"
SA_0000001825,"Regional prevalence, AAFs (15+), liver cirrhosis deaths (%)"
SA_0000001828,"Regional prevalence, AAFs ,all-cause deaths (%)"
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%)
UV_4,UV radiation attributable deaths per 100'000 capita
VIOLENCE_CHILD_NEGLECT,Lifetime prevalence of child physical neglect (%)
VIOLENCE_EXTENTIMP_ALLTYPES,Extent of implementation of  mental health services for victims of all types of violence
VIOLENCE_PHYSICAL_FIGHTING,"Physical fighting, past 12 months (%)"
W_Group,Warning about the dangers of tobacco
W10_graphic_B,Do the health warnings on other smoked tobacco packaging include a photograph or graphic?
W10_graphic_C,Do the health warnings on smokeless tobacco packaging include a photograph or graphic?
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex"
SDG_SH_STA_SCIDEN,Number of suicide deaths
SA_0000001698,"Adopted written national policy on alcohol, year revised"
SA_0000001698_ARCHIVED,"Adopted written national policy on alcohol, year revised"
SA_0000001700,Consumer information on alcohol and health at points of sale
SA_0000001701,Educational programmes involving target groups in school curriculum
SA_0000001703,Server training on a regular basis
TOBACCO_0000000372,Varenicline - place available
TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging
TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic
TOBACCO_0000000506,Representativeness of youth survey
TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population)
SDGCODCOMPLETENESS,Completeness of cause-of-death data (%)
SDGHIV1524,New HIV infections among adults 15-24 years old (per 1000 uninfected population)
SA_0000001784_ARCHIVED,"15-years old, any alcoholic beverage consumed at least once a week, (%)"
SA_0000001787_ARCHIVED,"13-15-years old first drink before age 14, (%)"
SA_0000001799,"Licenses issued for wholesale/distribution, change since 2010"
SA_0000001804,Health warning labels on under-age drinking
SA_0000001807,"Cancer, age-standardized death rates (15+), per 100,000 population"
SA_0000001707,Persons with alcohol use disorders receiving treatment (%)
SA_0000001708,Designation of alcohol tax revenues to health services
WHS3_47,Meningitis - number of reported cases
WHS3_51,H5N1 influenza - number of reported cases
WHS3_55,Congenital Rubella Syndrome - number of reported cases
SA_0000001712,Community-based interventions/projects involving stakeholders
SA_0000001714,Training in screening and brief interventions for alcohol problems
SA_0000001715,Counselling to children in families with alcohol problems
SA_0000001716,Counselling to pregnant women with alcohol problems
WHS10_9,Ill-defined causes in cause-of-death registration (%)
VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,Child maltreatment: Extent of implementation of home-visiting programmes
W11_outside_pack_A,Do health warnings appear on each cigarette package and any outside packaging and labelling used in the retail sale?
WHS4_543,BCG immunization coverage among 1-year-olds (%)
WHS3_49,Poliomyelitis - number of reported cases
WHS3_522,Number of reported cases of tuberculosis
WHS3_53,Mumps - number of reported cases
WHS4_107,Children aged <5 years with diarrhoea receiving ORT (%)
WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%)
WHS4_154,Antenatal care coverage - at least four visits (%)
WHS5_512,Population using solid fuels (%)
WHS6_101,Median availability of selected generic medicines (%) - Private
WHS6_123,Number of dentistry personnel
WHS6_127,Number of nursing and midwifery personnel
WHS6_150,Community health workers density (per 10 000 population)
WHS6_517,Number of pharmaceutical personnel
WHS6_518,Number of environment and public health workers
WHS6_519,Density of pharmaceutical personnel (per 10 000 population)
WHS7_113,General government expenditure on health as a percentage of total government expenditure
SE_G23_MATH,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics (%)
SG_DMK_SRCR_FN_ZS,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (%)"
WHS4_111_AGE1519,"Antenatal care coverage - at least one visit, among girls aged 15-19 (%)"
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%)
SDGTOBACCO,Age-standardized prevalence of current tobacco smoking among persons aged 15 years and older
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)
SE_G23_RDG,Proportion of children in grades 2/3 achieving at least a minimum proficiency level in reading (%)
SE_PRM_MATH,Proportion of children at the end of primary achieving at least a minimum proficiency level in mathematics (%)
SDGODA01,"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country"
SDGODA02,"Official development assistance for medical research and basic health sectors as a percentage of GNI (%), by donor country"
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population)
SDGROADAGE,Age-standardized road traffic  mortality (per 100 000 population)
SDGSHP,Skilled health professionals density (per 10 000 population)
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population)
WHS2_152,Deaths due to malaria (per 100 000 population)
WHS2_160,Age-standardized mortality rate by cause (per 100 000 population) - Cancer
WHS2_164,Distribution of causes of death among children aged <5 years (%) - Malaria
WHS2_165,Distribution of causes of death among children aged <5 years (%) - Pneumonia
TOTENV_9,Total environment attributable DALYs ('000) in children under 5 years
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases
UNICEF_PNCMOTHER,Women age 15-49 years who received a health check within 2 days after delivery of their most recent live birth in the last 2 years (%)
UV_2,UV radiation attributable deaths
SA_0000001809,National system of epidemiological data collection for alcohol use
SA_0000001810,National system of data collection based on health service delivery
SA_0000001813,National organization for monitoring alcohol
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI"
SA_0000001826,"Regional prevalence, AAFs (15+), road traffic crash deaths (%)"
SE_PRM_RDNG,Proportion of children at the end of primary achieving at least a minimum proficiency level in reading (%)
SHS_2,Percentage of women (15+ years) exposed to second-hand smoke
SHS_3,Percentage of men (15+ years) exposed to second-hand smoke
SHS_4,Second-hand smoke attributable deaths
SHS_6,Second-hand smoke attributable deaths per 100'000 capita
W11_outside_pack_C,Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?
W12_imports_dutyfree_B,Health warnings on other smoked tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale
W13_ind_liability_C,Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacco industry
SA_0000001831,Average price 500 mls Spirits in US$
WHS2_170,Distribution of causes of death among children aged <5 years (%) - HIV/AIDS
WHS2_174,Distribution of years of life lost by broader causes (%) - Injuries
WHS3_41,Diphtheria - number of reported cases
SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority
SG_REG_CENSUS,Proportion of countries that have conducted at least one population and housing census in the last 10 years (%)
SG_REG_CENSUSN,Number of countries that have conducted at least one population and housing census in the last 10 years
W14_harm_effects_A,Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health?
W15_specific_hw_A,Does the law mandate specific health warnings on cigarette packaging?
W15_specific_hw_B,Does the law mandate specific health warnings on other smoked tobacco packaging?
WHS6_116,Median consumer price ratio of selected generic medicines - Private
WHS6_144,Dentistry personnel density (per 10 000 population)
WHS7_104,Per capita government expenditure on health at average exchange rate (US$)
WHS7_108,Per capita government expenditure on health (PPP int. $)
SE_LSC_MATH,Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics (%)
SE_PRE_PARTN,Participation rate in organized learning (one year before the official primary entry age) (%)
W1_HW_law_C,Law mandates that health warnings appear on smokeless tobacco packages
W12_imports_dutyfree_C,Health warnings on smokeless tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale
WHS7_149,General government expenditure on health as a percentage of total expenditure on health
WHS7_150,Out-of-pocket expenditure as a percentage of total expenditure on health
WHS7_156,Per capita total expenditure on health at average exchange rate (US$)
WHS9_86,Population (in thousands) total
W17_fines_A,Health warnings on cigarette packaging law requires or establishes fines for violations
W17_fines_B,Health warnings on other smoked tobacco packaging law requires or establishes fines for violations
W2_pc_front_back_B,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging
W14_harm_effects_B,Do health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health?
W16_number_hw_B,How many health warnings are approved by the law for other smoked tobacco packaging?
W16_number_hw_C,How many health warnings are approved by the law for smokeless tobacco packaging?
W18_misleading_terms_C,Ban on deceitful terms on smokeless tobacco packaging
W16_number_hw_A,How many health warnings are approved by the law for cigarette packaging?
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%)
W20_flavours_C,Smokeless tobacco packaging and labelling must not use descriptors depicting flavours
WHS7_143,Total expenditure on health as a percentage of gross domestic product
WHS7_147,Private expenditure on health as a percentage of total expenditure on health
WHS9_85,Literacy rate among adults aged >= 15 years (%)
WHS9_89,Population proportion under 15 (%)
WHS9_90,Population living on <$1 (PPP int. $) a day (%)
WHS9_92,Population proportion over 60 (%)
WHS9_93,Gross national income per capita (PPP int. $)
WHS4_99,Antiretroviral therapy coverage among HIV-infected pregnant women for PMTCT (%)
WHS6_100,Radiotherapy units (per 1 000 000 population)
WHS6_102,Hospital beds (per 10 000 population)
WHS6_148,Nursing and midwifery personnel density (per 10 000 population)
SI_POV_DAY1,Proportion of population below the international poverty line of US$1.90 per day (%)
SUNBEDEXISTSUBNATIONAL,Existence of subnational regulation
SUNBEDREG_CONTROL,Restriction and inspection of facilities
WHS7_105,Per capita total expenditure on health (PPP int. $)
SH_STA_FGMS,Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting (FMG/C) (%)
SHS_1,Percentage of children under 15 years exposed to second-hand smoke
SHS_8,Second-hand smoke attributable deaths ('000) in children under 5 years
SHS_9,Second-hand smoke  attributable deaths per 100'000 children under 5 years
SI_POV_EMP1,Employed population below the international poverty line of US$1.90 per day (the working poor) (%)
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
SUNBEDEXIST,Existence of national regulation
SUNBEDREG_SAFETY,Safety requirements
WHS9_87,Net primary school enrolment ratio (%)
WHS9_88,Population median age (years)
WHS9_94,Civil registration coverage of causes of deaths (%)
WHS9_95,Total fertility rate (per woman)
WHS9_CS,Cellular subscribers (per 100 population)
WSH_1,SDG 3.9.2 WASH deaths
WSH_10_HYG,Number of diarrhoea deaths from inadequate hygiene
WSH_10_SAN,Number of diarrhoea deaths from inadequate sanitation
WSH_10_WAT,Number of diarrhoea deaths from inadequate water
WHS3_48,Malaria - number of reported confirmed cases
WHS3_50,Yellow fever - number of reported cases
WHS3_54,Number of reported cases of tuberculosis (DOTS)
WHS3_56,Neonatal tetanus - number of reported cases
WHS3_57,Rubella - number of reported cases
WHS3_62,Measles - number of reported cases
WHS4_108,Children aged <5 years with ARI symptoms who took antibiotic treatment (%)
WHS4_115,Births by caesarean section (%)
VIOLENCE_EXTENTIMP_VICTIMSMEDICOLEGAL,Extent of implementation of medico-legal services for victims of sexual violence
VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS,Youth violence: Extent of implementation of life-skills and social development programmes
VIOLENCE_HOMICIDENUM,Estimates of number of homicides
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population
W1_HW_law_A,Law mandates that health warnings appear on tobacco packages
W10_graphic_A,Do the health warnings on cigarette packaging include a photograph or graphic?
WSH_20_SAN,Attributable fraction of diarrhoea to inadequate sanitation
WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita"
